MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR65;CONJUNCTIVE_CONTRACT;Test-03;9;3;9;[placeOfBirth, confederation, dayBirth, monthBirth, minAge, minYear, maxYear, minHeight, maxHeight];[];[confederation, maxHeight, minAge, minHeight, monthBirth];[];[];[maxYear, minYear, placeOfBirth];[];[];[dayBirth];[];[];[];[];[];[];[];[];[];[]
MR250;CONJUNCTIVE_CONTRACT;Test-09;10;4;10;[placeOfBirth, exactSearch, citizenship, countryOfBirth, dayBirth, monthBirth, maxAge, maxYear, minHeight, maxHeight];[];[maxAge, maxYear, minHeight, placeOfBirth];[];[];[countryOfBirth, exactSearch, maxHeight];[];[];[citizenship, dayBirth];[];[];[monthBirth];[];[];[];[];[];[];[]
MR526;CONJUNCTIVE_EXTEND;Test-18;10;2;5;[placeOfBirth, citizenship, secondCitizenship, countryOfBirth, confederation, yearBirth, minAge, maxAge, minHeight, maxHeight];[dayBirth, exactSearch, monthBirth];[];[];[maxYear, minYear];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR575;DISJOINT_EXTEND;Test-20;12;6;6;[placeOfBirth, exactSearch, citizenship, secondCitizenship, countryOfBirth:Spain, confederation, monthBirth, maxAge, minYear, maxYear, minHeight, maxHeight];[];[];[countryOfBirth:Haiti];[];[];[countryOfBirth:Afghanistan];[];[];[countryOfBirth:Albania];[];[];[countryOfBirth:Algeria];[];[];[countryOfBirth:American Samoa];[];[];[countryOfBirth:American Virgin Islands]
MR7;CONJUNCTIVE_CONTRACT;Test-01;10;3;10;[exactSearch, citizenship, secondCitizenship, countryOfBirth, dayBirth, monthBirth, yearBirth, minAge, maxAge, minYear];[];[monthBirth];[];[];[citizenship, countryOfBirth, maxAge, minAge, minYear, secondCitizenship, yearBirth];[];[];[dayBirth, exactSearch];[];[];[];[];[];[];[];[];[];[]
MR379;EQUIVALENCE_EXTEND;Test-13;10;1;3;[exactSearch, citizenship, secondCitizenship, countryOfBirth, confederation, dayBirth, monthBirth, minAge, maxAge, minHeight];[maxHeight:220, maxYear:2006, minYear:1850];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR22;CONJUNCTIVE_EXTEND;Test-01;10;4;5;[exactSearch, citizenship, secondCitizenship, countryOfBirth, dayBirth, monthBirth, yearBirth, minAge, maxAge, minYear];[maxHeight, minHeight];[];[];[confederation];[];[];[maxYear];[];[];[placeOfBirth];[];[];[];[];[];[];[];[]
MR404;CONJUNCTIVE_EXTEND;Test-14;10;2;5;[placeOfBirth, citizenship, countryOfBirth, dayBirth, yearBirth, minAge, minYear, maxYear, minHeight, maxHeight];[confederation, exactSearch, monthBirth, secondCitizenship];[];[];[maxAge];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR551;CONJUNCTIVE_EXTEND;Test-19;12;3;3;[placeOfBirth, citizenship, secondCitizenship, confederation, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, maxHeight];[exactSearch];[];[];[dayBirth];[];[];[countryOfBirth];[];[];[];[];[];[];[];[];[];[];[]
MR361;CONJUNCTIVE_CONTRACT;Test-13;10;3;10;[exactSearch, citizenship, secondCitizenship, countryOfBirth, confederation, dayBirth, monthBirth, minAge, maxAge, minHeight];[];[citizenship, minHeight];[];[];[confederation, countryOfBirth, dayBirth, exactSearch, maxAge, minAge, monthBirth];[];[];[secondCitizenship];[];[];[];[];[];[];[];[];[];[]
MR464;CONJUNCTIVE_EXTEND;Test-16;9;2;6;[placeOfBirth, exactSearch, citizenship, countryOfBirth, monthBirth, yearBirth, minYear, maxYear, maxHeight];[dayBirth, maxAge, minAge, minHeight];[];[];[confederation, secondCitizenship];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR562;CONJUNCTIVE_CONTRACT;Test-20;12;5;12;[placeOfBirth, exactSearch, citizenship, secondCitizenship, countryOfBirth, confederation, monthBirth, maxAge, minYear, maxYear, minHeight, maxHeight];[];[citizenship, confederation, maxAge, maxYear, minYear, monthBirth, secondCitizenship];[];[];[maxHeight];[];[];[countryOfBirth, placeOfBirth];[];[];[exactSearch];[];[];[minHeight];[];[];[];[]
MR576;DISJOINT_EXTEND;Test-20;12;2;2;[placeOfBirth, exactSearch, citizenship:Germany, secondCitizenship, countryOfBirth, confederation, monthBirth, maxAge, minYear, maxYear, minHeight, maxHeight];[];[];[citizenship:Haiti];[];[];[citizenship:Afghanistan];[];[];[];[];[];[];[];[];[];[];[];[]
