MR;Type;STC;FUTCs;LocalDistance
MR22;CONJUNCTIVE_CONTRACT;Test-06;1;2
MR41;CONJUNCTIVE_EXTEND;Test-10;1;1
MR33;EQUIVALENCE_EXTEND;Test-07;1;1
MR17;CONJUNCTIVE_EXTEND;Test-05;1;2
MR54;CONJUNCTIVE_CONTRACT;Test-14;2;2
MR10;DISJOINT_EXTEND;Test-03;3;3
MR49;CONJUNCTIVE_CONTRACT;Test-13;1;2
MR0;CONJUNCTIVE_CONTRACT;Test-01;2;3
MR38;EQUIVALENCE_EXTEND;Test-09;1;1
MR14;DISJOINT_EXTEND;Test-04;5;5
MR66;CONJUNCTIVE_EXTEND;Test-17;1;3
MR15;EQUIVALENCE_EXTEND;Test-04;1;1
MR19;COMPLETE_EXTEND;Test-05;6;6
MR69;CONJUNCTIVE_EXTEND;Test-17;2;3
MR39;CONJUNCTIVE_CONTRACT;Test-10;1;1
MR60;CONJUNCTIVE_EXTEND;Test-15;3;3
MR23;CONJUNCTIVE_EXTEND;Test-06;1;2
MR64;CONJUNCTIVE_CONTRACT;Test-16;1;3
MR2;CONJUNCTIVE_CONTRACT;Test-01;2;3
MR5;EQUIVALENCE_EXTEND;Test-01;1;1
MR36;CONJUNCTIVE_CONTRACT;Test-09;3;3
MR35;DISJOINT_EXTEND;Test-08;3;3
MR43;CONJUNCTIVE_EXTEND;Test-11;2;2
MR27;CONJUNCTIVE_CONTRACT;Test-07;3;3
MR59;CONJUNCTIVE_EXTEND;Test-15;3;3
MR9;EQUIVALENCE_EXTEND;Test-02;1;1
MR56;CONJUNCTIVE_EXTEND;Test-14;1;1
MR12;CONJUNCTIVE_CONTRACT;Test-04;1;2
MR65;DISJOINT_EXTEND;Test-16;3;3
MR1;CONJUNCTIVE_CONTRACT;Test-01;1;3
MR57;DISJOINT_EXTEND;Test-14;5;5
MR37;DISJOINT_EXTEND;Test-09;4;4
MR67;CONJUNCTIVE_EXTEND;Test-17;2;3
MR28;CONJUNCTIVE_CONTRACT;Test-07;2;3
MR55;CONJUNCTIVE_CONTRACT;Test-14;1;2
MR62;CONJUNCTIVE_EXTEND;Test-15;2;3
MR70;CONJUNCTIVE_CONTRACT;Test-18;1;2
MR46;COMPLETE_EXTEND;Test-11;6;6
MR47;CONJUNCTIVE_EXTEND;Test-12;1;1
MR71;CONJUNCTIVE_CONTRACT;Test-18;2;2
MR6;CONJUNCTIVE_EXTEND;Test-02;1;2
MR4;DISJOINT_EXTEND;Test-01;2;2
MR51;CONJUNCTIVE_EXTEND;Test-13;2;2
MR44;CONJUNCTIVE_EXTEND;Test-11;1;2
MR34;CONJUNCTIVE_EXTEND;Test-08;1;1
MR58;EQUIVALENCE_EXTEND;Test-14;1;1
MR16;CONJUNCTIVE_EXTEND;Test-05;2;2
MR68;CONJUNCTIVE_EXTEND;Test-17;3;3
MR45;CONJUNCTIVE_EXTEND;Test-11;2;2
MR50;CONJUNCTIVE_CONTRACT;Test-13;2;2
MR61;CONJUNCTIVE_EXTEND;Test-15;2;3
MR11;CONJUNCTIVE_CONTRACT;Test-04;1;1
MR31;CONJUNCTIVE_EXTEND;Test-07;1;1
MR29;CONJUNCTIVE_CONTRACT;Test-07;3;3
MR52;CONJUNCTIVE_EXTEND;Test-13;1;2
MR3;CONJUNCTIVE_EXTEND;Test-01;1;1
MR74;COMPLETE_EXTEND;Test-18;6;6
MR21;CONJUNCTIVE_CONTRACT;Test-06;2;2
MR30;CONJUNCTIVE_CONTRACT;Test-07;1;3
MR24;CONJUNCTIVE_EXTEND;Test-06;2;2
MR8;COMPLETE_EXTEND;Test-02;6;6
MR7;CONJUNCTIVE_EXTEND;Test-02;2;2
MR18;CONJUNCTIVE_EXTEND;Test-05;2;2
MR32;COMPLETE_EXTEND;Test-07;6;6
MR42;DISJOINT_EXTEND;Test-10;3;3
MR25;DISJOINT_EXTEND;Test-06;4;4
MR40;CONJUNCTIVE_CONTRACT;Test-10;2;2
MR13;CONJUNCTIVE_CONTRACT;Test-04;2;3
MR73;CONJUNCTIVE_EXTEND;Test-18;1;2
MR20;CONJUNCTIVE_CONTRACT;Test-06;2;2
MR53;DISJOINT_EXTEND;Test-13;1;1
MR63;COMPLETE_EXTEND;Test-15;6;6
MR72;CONJUNCTIVE_EXTEND;Test-18;2;2
MR48;DISJOINT_EXTEND;Test-12;5;5
MR26;EQUIVALENCE_EXTEND;Test-06;1;1
