MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR372;CONJUNCTIVE_EXTEND;Test-15;7;4;7;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[price, tag];[specialOffers];[headsets, os, selectedTypes];[language];[];[]
MR297;CONJUNCTIVE_EXTEND;Test-12;9;1;5;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[headsets, input, language, playArea, term];[];[];[];[];[]
MR409;CONJUNCTIVE_CONTRACT;Test-17;6;3;6;[term, specialOffers, feature, vrSupport, os, language];[feature, os, specialOffers];[language];[term, vrSupport];[];[];[]
MR8;CONJUNCTIVE_CONTRACT;Test-01;7;3;6;[term, sortBy, price, feature, vrSupport, headsets, language];[language];[vrSupport];[feature, headsets, price, term];[];[];[]
MR365;CONJUNCTIVE_CONTRACT;Test-15;7;2;6;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[feature, input, playArea, term, vrSupport];[numberOfPlayers];[];[];[];[]
MR373;CONJUNCTIVE_EXTEND;Test-15;7;2;7;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[headsets, language, os, price, selectedTypes, tag];[specialOffers];[];[];[];[]
MR224;CONJUNCTIVE_CONTRACT;Test-10;8;4;7;[term, sortBy, tag, numberOfPlayers, vrSupport, headsets, input, language];[tag];[numberOfPlayers];[headsets, language, vrSupport];[input, term];[];[]
MR57;CONJUNCTIVE_CONTRACT;Test-03;11;4;11;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[feature, numberOfPlayers, vrSupport];[input];[playArea, selectedTypes, tag, term];[headsets, language, specialOffers];[];[]
MR223;CONJUNCTIVE_CONTRACT;Test-10;8;2;7;[term, sortBy, tag, numberOfPlayers, vrSupport, headsets, input, language];[headsets, input, language, numberOfPlayers, tag, term];[vrSupport];[];[];[];[]
MR205;CONJUNCTIVE_CONTRACT;Test-09;8;3;7;[term, sortBy, price, tag, selectedTypes, input, playArea, os];[input, os, term];[price, selectedTypes];[playArea, tag];[];[];[]
MR107;CONJUNCTIVE_EXTEND;Test-05;6;3;7;[price, selectedTypes, numberOfPlayers, vrSupport, os, language];[feature, input, tag];[headsets, term];[playArea, specialOffers];[];[];[]
MR366;CONJUNCTIVE_CONTRACT;Test-15;7;4;6;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[input, playArea, vrSupport];[numberOfPlayers];[feature];[term];[];[]
MR274;SHUFFLING_CONTRACT;Test-11;10;1;1;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[sortBy];[];[];[];[];[]
MR34;CONJUNCTIVE_CONTRACT;Test-02;8;3;7;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[tag];[input, numberOfPlayers, os, playArea, specialOffers];[selectedTypes];[];[];[]
MR52;DISJOINT_EXTEND;Test-02;8;6;6;[sortBy, specialOffers, tag, selectedTypes:downloableContent, numberOfPlayers, input, playArea, os];[selectedTypes:games];[selectedTypes:software];[selectedTypes:demos];[selectedTypes:soundtracks];[selectedTypes:videos];[selectedTypes:mods]
MR156;CONJUNCTIVE_CONTRACT;Test-07;7;2;7;[term, price, specialOffers, tag, selectedTypes, feature, language];[feature, language, price, selectedTypes, specialOffers, tag];[term];[];[];[];[]
MR175;CONJUNCTIVE_CONTRACT;Test-08;10;4;9;[term, sortBy, price, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, playArea, os];[numberOfPlayers, os];[headsets, price, tag, term];[playArea, selectedTypes];[vrSupport];[];[]
MR266;CONJUNCTIVE_EXTEND;Test-11;10;2;4;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[language, term, vrSupport];[numberOfPlayers];[];[];[];[]
MR60;CONJUNCTIVE_CONTRACT;Test-03;11;3;11;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[feature, headsets, input, language, numberOfPlayers, tag, term, vrSupport];[selectedTypes, specialOffers];[playArea];[];[];[]
MR397;CONJUNCTIVE_EXTEND;Test-16;11;2;3;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[feature, os];[language];[];[];[];[]
MR347;CONJUNCTIVE_EXTEND;Test-14;9;2;5;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[headsets, numberOfPlayers, price, tag];[input];[];[];[];[]
MR396;CONJUNCTIVE_EXTEND;Test-16;11;2;3;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[feature];[language, os];[];[];[];[]
MR253;CONJUNCTIVE_CONTRACT;Test-11;10;1;9;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[feature, headsets, input, os, playArea, price, selectedTypes, specialOffers, tag];[];[];[];[];[]
MR400;DISJOINT_EXTEND;Test-16;11;3;3;[term, sortBy, price, specialOffers, tag, selectedTypes:downloableContent, numberOfPlayers, vrSupport, headsets, input, playArea];[selectedTypes:games];[selectedTypes:software];[selectedTypes:demos];[];[];[]
MR328;EQUIVALENCE_EXTEND;Test-13;8;1;1;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[sortBy:relevance];[];[];[];[];[]
MR236;CONJUNCTIVE_EXTEND;Test-10;8;4;6;[term, sortBy, tag, numberOfPlayers, vrSupport, headsets, input, language];[feature, playArea];[specialOffers];[selectedTypes];[os, price];[];[]
MR273;CONJUNCTIVE_EXTEND;Test-11;10;3;4;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[language];[numberOfPlayers];[term, vrSupport];[];[];[]
MR42;CONJUNCTIVE_EXTEND;Test-02;8;4;6;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[feature, vrSupport];[price, term];[language];[headsets];[];[]
