MR;Type;STC;FUTCs;LocalDistance
MR23;DISJOINT_EXTEND;Test-01;1;1
MR309;CONJUNCTIVE_CONTRACT;Test-12;2;8
MR69;CONJUNCTIVE_CONTRACT;Test-03;2;7
MR237;DISJOINT_EXTEND;Test-09;4;4
MR400;DISJOINT_EXTEND;Test-15;5;5
MR377;COMPLETE_EXTEND;Test-14;5;5
MR201;CONJUNCTIVE_EXTEND;Test-08;2;3
MR145;CONJUNCTIVE_CONTRACT;Test-06;1;9
MR176;CONJUNCTIVE_EXTEND;Test-07;1;3
MR113;DISJOINT_EXTEND;Test-04;4;4
MR273;CONJUNCTIVE_CONTRACT;Test-11;4;8
MR197;CONJUNCTIVE_EXTEND;Test-08;1;1
MR112;DISJOINT_EXTEND;Test-04;1;1
MR259;CONJUNCTIVE_EXTEND;Test-10;4;5
MR209;DISJOINT_EXTEND;Test-08;4;4
MR304;CONJUNCTIVE_CONTRACT;Test-12;3;8
MR295;DISJOINT_EXTEND;Test-11;6;6
MR444;CONJUNCTIVE_EXTEND;Test-17;2;4
MR123;CONJUNCTIVE_CONTRACT;Test-05;4;6
MR11;CONJUNCTIVE_EXTEND;Test-01;1;4
MR63;CONJUNCTIVE_CONTRACT;Test-03;2;7
MR428;DISJOINT_EXTEND;Test-16;4;4
MR72;CONJUNCTIVE_CONTRACT;Test-03;3;7
MR470;CONJUNCTIVE_CONTRACT;Test-18;4;6
MR178;SHUFFLING_EXTEND;Test-07;1;1
MR436;CONJUNCTIVE_CONTRACT;Test-17;2;8
MR407;CONJUNCTIVE_CONTRACT;Test-16;5;11
MR409;CONJUNCTIVE_CONTRACT;Test-16;1;11
MR257;CONJUNCTIVE_EXTEND;Test-10;2;5
MR83;CONJUNCTIVE_EXTEND;Test-03;1;5
MR373;DISJOINT_EXTEND;Test-14;2;2
MR220;CONJUNCTIVE_CONTRACT;Test-09;3;9
MR140;CONJUNCTIVE_CONTRACT;Test-06;3;9
MR355;CONJUNCTIVE_CONTRACT;Test-14;3;8
MR403;COMPLETE_EXTEND;Test-15;5;5
MR246;CONJUNCTIVE_CONTRACT;Test-10;2;7
MR118;CONJUNCTIVE_CONTRACT;Test-05;1;6
MR90;DISJOINT_EXTEND;Test-03;2;2
MR231;DISJOINT_EXTEND;Test-09;1;1
MR289;SHUFFLING_EXTEND;Test-11;6;6
MR235;DISJOINT_EXTEND;Test-09;1;1
MR370;DISJOINT_EXTEND;Test-14;1;1
MR430;CONJUNCTIVE_CONTRACT;Test-17;4;8
MR198;CONJUNCTIVE_EXTEND;Test-08;1;3
MR363;CONJUNCTIVE_EXTEND;Test-14;1;2
MR379;COMPLETE_EXTEND;Test-14;2;2
MR133;SHUFFLING_EXTEND;Test-05;3;3
MR433;CONJUNCTIVE_CONTRACT;Test-17;2;8
MR1;CONJUNCTIVE_CONTRACT;Test-01;2;8
MR137;COMPLETE_EXTEND;Test-05;3;3
MR375;DISJOINT_EXTEND;Test-14;1;1
MR383;CONJUNCTIVE_CONTRACT;Test-15;3;6
MR380;CONJUNCTIVE_CONTRACT;Test-15;5;6
MR26;DISJOINT_EXTEND;Test-01;1;1
MR424;DISJOINT_EXTEND;Test-16;1;1
MR369;DISJOINT_EXTEND;Test-14;2;2
MR61;CONJUNCTIVE_CONTRACT;Test-03;4;7
MR169;CONJUNCTIVE_CONTRACT;Test-07;4;8
MR226;CONJUNCTIVE_EXTEND;Test-09;2;3
MR229;CONJUNCTIVE_EXTEND;Test-09;2;3
MR126;CONJUNCTIVE_CONTRACT;Test-05;3;6
MR86;DISJOINT_EXTEND;Test-03;3;3
MR206;DISJOINT_EXTEND;Test-08;2;2
MR162;DISJOINT_EXTEND;Test-06;2;2
MR68;CONJUNCTIVE_CONTRACT;Test-03;2;7
MR387;CONJUNCTIVE_CONTRACT;Test-15;2;6
MR228;CONJUNCTIVE_EXTEND;Test-09;3;3
MR45;CONJUNCTIVE_EXTEND;Test-02;1;4
MR146;CONJUNCTIVE_CONTRACT;Test-06;3;9
MR192;CONJUNCTIVE_CONTRACT;Test-08;3;7
MR417;CONJUNCTIVE_CONTRACT;Test-16;3;11
MR59;DISJOINT_EXTEND;Test-02;1;1
MR156;DISJOINT_EXTEND;Test-06;1;1
MR254;CONJUNCTIVE_EXTEND;Test-10;2;5
MR104;CONJUNCTIVE_CONTRACT;Test-04;5;9
MR463;CONJUNCTIVE_CONTRACT;Test-18;3;6
MR312;CONJUNCTIVE_EXTEND;Test-12;3;4
MR76;CONJUNCTIVE_EXTEND;Test-03;2;5
MR199;CONJUNCTIVE_EXTEND;Test-08;1;1
MR77;CONJUNCTIVE_EXTEND;Test-03;2;5
MR149;CONJUNCTIVE_CONTRACT;Test-06;2;9
MR319;SHUFFLING_EXTEND;Test-12;2;2
MR432;CONJUNCTIVE_CONTRACT;Test-17;1;8
MR306;CONJUNCTIVE_CONTRACT;Test-12;2;8
MR43;CONJUNCTIVE_EXTEND;Test-02;3;4
MR189;CONJUNCTIVE_CONTRACT;Test-08;1;7
MR488;DISJOINT_EXTEND;Test-18;2;2
MR221;CONJUNCTIVE_CONTRACT;Test-09;3;9
MR24;DISJOINT_EXTEND;Test-01;3;3
MR177;CONJUNCTIVE_EXTEND;Test-07;1;2
MR385;CONJUNCTIVE_CONTRACT;Test-15;3;6
MR168;CONJUNCTIVE_CONTRACT;Test-07;2;8
MR315;CONJUNCTIVE_EXTEND;Test-12;2;4
