MR;Type;STC;FUTCs;LocalDistance
MR334;CONJUNCTIVE_CONTRACT;Test-07;3;13
MR794;CONJUNCTIVE_EXTEND;Test-15;4;13
MR755;CONJUNCTIVE_CONTRACT;Test-15;4;12
MR86;CONJUNCTIVE_EXTEND;Test-02;5;11
MR492;CONJUNCTIVE_CONTRACT;Test-10;5;14
MR287;CONJUNCTIVE_CONTRACT;Test-06;3;14
MR648;CONJUNCTIVE_CONTRACT;Test-13;2;15
MR375;CONJUNCTIVE_EXTEND;Test-07;4;12
MR901;CONJUNCTIVE_EXTEND;Test-17;4;13
MR817;CONJUNCTIVE_CONTRACT;Test-16;5;14
MR1009;CONJUNCTIVE_EXTEND;Test-19;6;15
MR906;CONJUNCTIVE_EXTEND;Test-17;3;13
MR936;CONJUNCTIVE_EXTEND;Test-18;2;12
MR846;CONJUNCTIVE_EXTEND;Test-16;4;11
MR615;CONJUNCTIVE_EXTEND;Test-12;5;15
MR231;CONJUNCTIVE_CONTRACT;Test-05;2;13
MR1016;CONJUNCTIVE_CONTRACT;Test-20;3;15
MR29;CONJUNCTIVE_EXTEND;Test-01;3;12
MR710;CONJUNCTIVE_CONTRACT;Test-14;5;16
MR564;CONJUNCTIVE_EXTEND;Test-11;1;8
MR744;CONJUNCTIVE_EXTEND;Test-14;3;9
MR545;CONJUNCTIVE_CONTRACT;Test-11;4;17
MR757;CONJUNCTIVE_CONTRACT;Test-15;3;12
MR795;CONJUNCTIVE_EXTEND;Test-15;4;13
MR354;CONJUNCTIVE_EXTEND;Test-07;3;12
MR953;CONJUNCTIVE_EXTEND;Test-18;4;12
MR743;CONJUNCTIVE_EXTEND;Test-14;3;9
MR121;CONJUNCTIVE_CONTRACT;Test-03;4;18
MR579;CONJUNCTIVE_EXTEND;Test-11;2;8
MR182;CONJUNCTIVE_CONTRACT;Test-04;2;14
MR2;CONJUNCTIVE_CONTRACT;Test-01;3;13
MR612;CONJUNCTIVE_CONTRACT;Test-12;4;10
MR366;CONJUNCTIVE_EXTEND;Test-07;1;12
MR872;CONJUNCTIVE_CONTRACT;Test-17;3;12
MR471;CONJUNCTIVE_EXTEND;Test-09;3;9
MR262;CONJUNCTIVE_EXTEND;Test-05;3;12
MR815;CONJUNCTIVE_CONTRACT;Test-16;4;14
MR145;CONJUNCTIVE_EXTEND;Test-03;4;7
MR284;CONJUNCTIVE_CONTRACT;Test-06;4;14
MR414;CONJUNCTIVE_EXTEND;Test-08;2;11
MR43;CONJUNCTIVE_EXTEND;Test-01;4;12
MR552;CONJUNCTIVE_CONTRACT;Test-11;4;17
MR59;CONJUNCTIVE_CONTRACT;Test-02;3;14
MR1025;CONJUNCTIVE_CONTRACT;Test-20;6;15
MR489;CONJUNCTIVE_CONTRACT;Test-10;2;14
MR652;CONJUNCTIVE_CONTRACT;Test-13;5;15
MR455;CONJUNCTIVE_CONTRACT;Test-09;6;16
MR401;CONJUNCTIVE_CONTRACT;Test-08;5;14
MR606;CONJUNCTIVE_CONTRACT;Test-12;2;10
MR346;CONJUNCTIVE_CONTRACT;Test-07;3;13
MR510;CONJUNCTIVE_EXTEND;Test-10;3;11
MR505;CONJUNCTIVE_CONTRACT;Test-10;6;14
MR478;CONJUNCTIVE_EXTEND;Test-09;4;9
MR550;CONJUNCTIVE_CONTRACT;Test-11;3;17
MR116;CONJUNCTIVE_CONTRACT;Test-03;3;18
MR730;CONJUNCTIVE_EXTEND;Test-14;2;9
MR244;CONJUNCTIVE_EXTEND;Test-05;4;12
