MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR237;CONJUNCTIVE_EXTEND;Test-16;9;2;2;[id, new_client, delivery, customer, total, payment, status, to, order];[from];[reference];[];[];[];[]
MR74;SHUFFLING_CONTRACT;Test-05;9;1;1;[reference, new_client, delivery, customer, payment, status, from, to, order];[order];[];[];[];[];[]
MR243;CONJUNCTIVE_CONTRACT;Test-17;5;2;3;[reference, delivery, total, payment, order];[delivery, total];[reference];[];[];[];[]
MR11;CONJUNCTIVE_EXTEND;Test-01;7;2;4;[id, reference, new_client, total, payment, status, order];[customer];[delivery, from, to];[];[];[];[]
MR216;CONJUNCTIVE_EXTEND;Test-15;5;1;6;[id, reference, payment, status, order];[customer, delivery, from, new_client, to, total];[];[];[];[];[]
MR107;CONJUNCTIVE_CONTRACT;Test-08;5;3;4;[id, new_client, delivery, status, order];[status];[id];[delivery, new_client];[];[];[]
MR48;CONJUNCTIVE_CONTRACT;Test-04;5;3;4;[id, total, status, to, order];[id, total];[status];[to];[];[];[]
MR181;CONJUNCTIVE_CONTRACT;Test-13;7;6;6;[id, reference, new_client, customer, total, status, order];[reference];[total];[new_client];[customer];[id];[status]
MR156;CONJUNCTIVE_CONTRACT;Test-11;9;2;7;[id, reference, new_client, delivery, payment, status, from, to, order];[from, id, new_client, reference, status, to];[delivery];[];[];[];[]
MR134;CONJUNCTIVE_EXTEND;Test-09;8;3;3;[id, reference, delivery, customer, total, payment, status, order];[to];[from];[new_client];[];[];[]
MR99;CONJUNCTIVE_EXTEND;Test-07;8;1;3;[id, reference, new_client, delivery, customer, total, payment, order];[from, status, to];[];[];[];[];[]
MR19;CONJUNCTIVE_CONTRACT;Test-02;11;3;9;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[delivery, from, new_client, reference, to, total];[customer];[id, status];[];[];[]
MR210;SHUFFLING_EXTEND;Test-14;5;2;2;[reference, delivery, status, to, order:delivery ascending];[order:id ascending];[order:id descending];[];[];[];[]
MR30;CONJUNCTIVE_CONTRACT;Test-03;4;3;3;[delivery, customer, from, order];[customer];[delivery];[from];[];[];[]
MR236;CONJUNCTIVE_EXTEND;Test-16;9;1;2;[id, new_client, delivery, customer, total, payment, status, to, order];[from, reference];[];[];[];[];[]
MR71;CONJUNCTIVE_EXTEND;Test-05;9;1;2;[reference, new_client, delivery, customer, payment, status, from, to, order];[id, total];[];[];[];[];[]
MR49;CONJUNCTIVE_CONTRACT;Test-04;5;1;4;[id, total, status, to, order];[id, status, to, total];[];[];[];[];[]
MR224;SHUFFLING_EXTEND;Test-15;5;4;4;[id, reference, payment, status, order:id descending];[order:id ascending];[order:reference ascending];[order:reference descending];[order:delivery ascending];[];[]
MR93;CONJUNCTIVE_CONTRACT;Test-07;8;3;6;[id, reference, new_client, delivery, customer, total, payment, order];[new_client];[delivery, id, total];[customer, reference];[];[];[]
MR81;CONJUNCTIVE_CONTRACT;Test-06;9;1;7;[reference, new_client, customer, total, payment, status, from, to, order];[customer, from, new_client, reference, status, to, total];[];[];[];[];[]
MR188;CONJUNCTIVE_EXTEND;Test-13;7;2;3;[id, reference, new_client, customer, total, status, order];[from, to];[delivery];[];[];[];[]
MR130;CONJUNCTIVE_CONTRACT;Test-09;8;2;6;[id, reference, delivery, customer, total, payment, status, order];[customer, delivery, reference, status, total];[id];[];[];[];[]
MR173;CONJUNCTIVE_EXTEND;Test-12;8;3;3;[id, new_client, customer, total, payment, from, to, order];[delivery];[reference];[status];[];[];[]
MR119;CONJUNCTIVE_EXTEND;Test-08;5;1;5;[id, new_client, delivery, status, order];[customer, from, reference, to, total];[];[];[];[];[]
MR244;CONJUNCTIVE_CONTRACT;Test-17;5;3;3;[reference, delivery, total, payment, order];[delivery];[reference];[total];[];[];[]
MR202;CONJUNCTIVE_EXTEND;Test-14;5;3;5;[reference, delivery, status, to, order];[id];[from, new_client, total];[customer];[];[];[]
MR217;CONJUNCTIVE_EXTEND;Test-15;5;3;6;[id, reference, payment, status, order];[customer, delivery, new_client, to];[from];[total];[];[];[]
MR112;CONJUNCTIVE_CONTRACT;Test-08;5;2;4;[id, new_client, delivery, status, order];[delivery];[id, new_client, status];[];[];[];[]
MR66;CONJUNCTIVE_CONTRACT;Test-05;9;2;7;[reference, new_client, delivery, customer, payment, status, from, to, order];[new_client, status];[customer, delivery, from, reference, to];[];[];[];[]
MR209;SHUFFLING_CONTRACT;Test-14;5;1;1;[reference, delivery, status, to, order];[order];[];[];[];[];[]
MR219;CONJUNCTIVE_EXTEND;Test-15;5;2;6;[id, reference, payment, status, order];[customer, from, new_client, to, total];[delivery];[];[];[];[]
MR21;CONJUNCTIVE_CONTRACT;Test-02;11;3;9;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[id, to];[customer, delivery, new_client, reference, status, total];[from];[];[];[]
MR212;CONJUNCTIVE_CONTRACT;Test-15;5;1;3;[id, reference, payment, status, order];[id, reference, status];[];[];[];[];[]
MR44;CONJUNCTIVE_CONTRACT;Test-04;5;3;4;[id, total, status, to, order];[id, to];[status];[total];[];[];[]
MR95;CONJUNCTIVE_CONTRACT;Test-07;8;1;6;[id, reference, new_client, delivery, customer, total, payment, order];[customer, delivery, id, new_client, reference, total];[];[];[];[];[]
MR149;CONJUNCTIVE_EXTEND;Test-10;7;2;4;[reference, delivery, customer, total, payment, status, order];[from];[id, new_client, to];[];[];[];[]
MR225;COMPLETE_EXTEND;Test-15;5;2;2;[id, reference, payment, status, order];[new_client:yes];[new_client:no];[];[];[];[]
MR111;CONJUNCTIVE_CONTRACT;Test-08;5;3;4;[id, new_client, delivery, status, order];[delivery, new_client];[status];[id];[];[];[]
MR144;CONJUNCTIVE_EXTEND;Test-10;7;2;4;[reference, delivery, customer, total, payment, status, order];[id, new_client, to];[from];[];[];[];[]
MR92;CONJUNCTIVE_CONTRACT;Test-07;8;2;6;[id, reference, new_client, delivery, customer, total, payment, order];[customer, delivery, id, reference, total];[new_client];[];[];[];[]
MR106;CONJUNCTIVE_CONTRACT;Test-08;5;1;4;[id, new_client, delivery, status, order];[delivery, id, new_client, status];[];[];[];[];[]
MR200;CONJUNCTIVE_CONTRACT;Test-14;5;3;4;[reference, delivery, status, to, order];[status];[reference, to];[delivery];[];[];[]
MR117;CONJUNCTIVE_EXTEND;Test-08;5;4;5;[id, new_client, delivery, status, order];[customer, to];[total];[from];[reference];[];[]
MR6;CONJUNCTIVE_EXTEND;Test-01;7;4;4;[id, reference, new_client, total, payment, status, order];[from];[customer];[delivery];[to];[];[]
MR38;CONJUNCTIVE_EXTEND;Test-03;4;4;6;[delivery, customer, from, order];[id];[new_client];[reference, to, total];[status];[];[]
MR177;DISJOINT_EXTEND;Test-12;8;1;1;[id, new_client:no, customer, total, payment, from, to, order];[new_client:yes];[];[];[];[];[]
MR40;SHUFFLING_CONTRACT;Test-03;4;1;1;[delivery, customer, from, order];[order];[];[];[];[];[]
MR33;CONJUNCTIVE_EXTEND;Test-03;4;1;6;[delivery, customer, from, order];[id, new_client, reference, status, to, total];[];[];[];[];[]
